[lower bound; , upper bound) , probability density
0.0 , 1.0 , 0.019932711959627175
1.0 , 2.0 , 0.013828708297224978
2.0 , 3.0 , 0.01774921064952639
3.0 , 4.0 , 0.02169861301916781
4.0 , 5.0 , 0.0269438161662897
5.0 , 6.0 , 0.03352982011789207
6.0 , 7.0 , 0.04188752513251508
7.0 , 8.0 , 0.05231073138643883
8.0 , 9.0 , 0.06605963963578378
9.0 , 10.0 , 0.08279204967522981
10.0 , 11.0 , 0.08467935080761048
11.0 , 12.0 , 0.07874934724960835
12.0 , 13.0 , 0.07072774243664547
13.0 , 14.0 , 0.061684537010722205
14.0 , 15.0 , 0.05240023144013886
15.0 , 16.0 , 0.04492152695291617
16.0 , 17.0 , 0.03817662290597374
17.0 , 18.0 , 0.03219851931911159
18.0 , 19.0 , 0.027089416253649752
19.0 , 20.0 , 0.02272171363302818
20.0 , 21.0 , 0.01886651131990679
21.0 , 22.0 , 0.015627409376445626
22.0 , 23.0 , 0.012899407739644644
23.0 , 24.0 , 0.010755506453303872
24.0 , 25.0 , 0.008968105380863229
25.0 , 26.0 , 0.0074457044674226805
26.0 , 27.0 , 0.0061599036959422175
27.0 , 28.0 , 0.005036003021601813
28.0 , 29.0 , 0.004053902432341459
29.0 , 30.0 , 0.0032953019771811863
30.0 , 31.0 , 0.002655201593120956
31.0 , 32.0 , 0.002296801378080827
32.0 , 33.0 , 0.001875401125240675
33.0 , 34.0 , 0.0016188009712805828
34.0 , 35.0 , 0.0013822008293204976
35.0 , 36.0 , 0.0011462006877204127
36.0 , 37.0 , 9.19300551580331E-4
37.0 , 38.0 , 7.539004523402714E-4
38.0 , 39.0 , 6.97100418260251E-4
39.0 , 40.0 , 5.767003460202076E-4
40.0 , 41.0 , 5.196003117601871E-4
41.0 , 42.0 , 4.264002558401535E-4
42.0 , 43.0 , 3.5030021018012613E-4
43.0 , 44.0 , 3.022001813201088E-4
44.0 , 45.0 , 2.1260012756007653E-4
45.0 , 46.0 , 1.936001161600697E-4
46.0 , 47.0 , 1.433000859800516E-4
47.0 , 48.0 , 9.97000598200359E-5
48.0 , 49.0 , 7.740004644002786E-5
49.0 , 50.0 , 6.620003972002383E-5
50.0 , 51.0 , 7.310004386002632E-5
51.0 , 52.0 , 6.560003936002362E-5
52.0 , 53.0 , 5.540003324001995E-5
53.0 , 54.0 , 4.630002778001667E-5
54.0 , 55.0 , 3.2900019740011844E-5
55.0 , 56.0 , 3.520002112001267E-5
56.0 , 57.0 , 3.370002022001213E-5
57.0 , 58.0 , 3.50000210000126E-5
58.0 , 59.0 , 2.670001602000961E-5
59.0 , 60.0 , 1.700001020000612E-5
60.0 , 61.0 , 2.0300012180007307E-5
61.0 , 62.0 , 1.75000105000063E-5
62.0 , 63.0 , 1.620000972000583E-5
63.0 , 64.0 , 8.900005340003204E-6
64.0 , 65.0 , 1.300000780000468E-6
65.0 , 66.0 , 1.800001080000648E-6
66.0 , 67.0 , 2.300001380000828E-6
67.0 , 68.0 , 3.700002220001332E-6
68.0 , 69.0 , 1.700001020000612E-6
69.0 , 70.0 , 2.600001560000936E-6
70.0 , 71.0 , 3.00000180000108E-7
71.0 , 72.0 , 0.0
72.0 , 73.0 , 0.0
73.0 , 74.0 , 0.0
74.0 , 75.0 , 0.0
75.0 , 76.0 , 0.0
76.0 , 77.0 , 0.0
77.0 , 78.0 , 0.0
78.0 , 79.0 , 0.0
79.0 , 80.0 , 0.0
80.0 , 81.0 , 0.0
81.0 , 82.0 , 0.0
82.0 , 83.0 , 0.0
83.0 , 84.0 , 0.0
84.0 , 85.0 , 0.0
85.0 , 86.0 , 0.0
86.0 , 87.0 , 0.0
87.0 , 88.0 , 0.0
88.0 , 89.0 , 0.0
89.0 , 90.0 , 0.0
90.0 , 91.0 , 0.0
91.0 , 92.0 , 0.0
92.0 , 93.0 , 0.0
93.0 , 94.0 , 0.0
94.0 , 95.0 , 0.0
95.0 , 96.0 , 0.0
96.0 , 97.0 , 0.0
97.0 , 98.0 , 0.0
98.0 , 99.0 , 0.0
99.0 , 100.0 , 0.0
