[lower bound; , upper bound) , relative frequency
0.0 , 1.0 , 199327.0
1.0 , 2.0 , 138287.0
2.0 , 3.0 , 177492.0
3.0 , 4.0 , 216986.0
4.0 , 5.0 , 269438.0
5.0 , 6.0 , 335298.0
6.0 , 7.0 , 418875.0
7.0 , 8.0 , 523107.0
8.0 , 9.0 , 660596.0
9.0 , 10.0 , 827920.0
10.0 , 11.0 , 846793.0
11.0 , 12.0 , 787493.0
12.0 , 13.0 , 707277.0
13.0 , 14.0 , 616845.0
14.0 , 15.0 , 524002.0
15.0 , 16.0 , 449215.0
16.0 , 17.0 , 381766.0
17.0 , 18.0 , 321985.0
18.0 , 19.0 , 270894.0
19.0 , 20.0 , 227217.0
20.0 , 21.0 , 188665.0
21.0 , 22.0 , 156274.0
22.0 , 23.0 , 128994.0
23.0 , 24.0 , 107555.0
24.0 , 25.0 , 89681.0
25.0 , 26.0 , 74457.0
26.0 , 27.0 , 61599.0
27.0 , 28.0 , 50360.0
28.0 , 29.0 , 40539.0
29.0 , 30.0 , 32953.0
30.0 , 31.0 , 26552.0
31.0 , 32.0 , 22968.0
32.0 , 33.0 , 18754.0
33.0 , 34.0 , 16188.0
34.0 , 35.0 , 13822.0
35.0 , 36.0 , 11462.0
36.0 , 37.0 , 9193.0
37.0 , 38.0 , 7539.0
38.0 , 39.0 , 6971.0
39.0 , 40.0 , 5767.0
40.0 , 41.0 , 5196.0
41.0 , 42.0 , 4264.0
42.0 , 43.0 , 3503.0
43.0 , 44.0 , 3022.0
44.0 , 45.0 , 2126.0
45.0 , 46.0 , 1936.0
46.0 , 47.0 , 1433.0
47.0 , 48.0 , 997.0
48.0 , 49.0 , 774.0
49.0 , 50.0 , 662.0
50.0 , 51.0 , 731.0
51.0 , 52.0 , 656.0
52.0 , 53.0 , 554.0
53.0 , 54.0 , 463.0
54.0 , 55.0 , 329.0
55.0 , 56.0 , 352.0
56.0 , 57.0 , 337.0
57.0 , 58.0 , 350.0
58.0 , 59.0 , 267.0
59.0 , 60.0 , 170.0
60.0 , 61.0 , 203.0
61.0 , 62.0 , 175.0
62.0 , 63.0 , 162.0
63.0 , 64.0 , 89.0
64.0 , 65.0 , 13.0
65.0 , 66.0 , 18.0
66.0 , 67.0 , 23.0
67.0 , 68.0 , 37.0
68.0 , 69.0 , 17.0
69.0 , 70.0 , 26.0
70.0 , 71.0 , 3.0
71.0 , 72.0 , 0.0
72.0 , 73.0 , 0.0
73.0 , 74.0 , 0.0
74.0 , 75.0 , 0.0
75.0 , 76.0 , 0.0
76.0 , 77.0 , 0.0
77.0 , 78.0 , 0.0
78.0 , 79.0 , 0.0
79.0 , 80.0 , 0.0
80.0 , 81.0 , 0.0
81.0 , 82.0 , 0.0
82.0 , 83.0 , 0.0
83.0 , 84.0 , 0.0
84.0 , 85.0 , 0.0
85.0 , 86.0 , 0.0
86.0 , 87.0 , 0.0
87.0 , 88.0 , 0.0
88.0 , 89.0 , 0.0
89.0 , 90.0 , 0.0
90.0 , 91.0 , 0.0
91.0 , 92.0 , 0.0
92.0 , 93.0 , 0.0
93.0 , 94.0 , 0.0
94.0 , 95.0 , 0.0
95.0 , 96.0 , 0.0
96.0 , 97.0 , 0.0
97.0 , 98.0 , 0.0
98.0 , 99.0 , 0.0
99.0 , 100.0 , 0.0
