(lower bound+upper bound)/2 , probability
0.5 , 0.019932711959627175
1.5 , 0.013828708297224978
2.5 , 0.01774921064952639
3.5 , 0.02169861301916781
4.5 , 0.0269438161662897
5.5 , 0.03352982011789207
6.5 , 0.04188752513251508
7.5 , 0.05231073138643883
8.5 , 0.06605963963578378
9.5 , 0.08279204967522981
10.5 , 0.08467935080761048
11.5 , 0.07874934724960835
12.5 , 0.07072774243664547
13.5 , 0.061684537010722205
14.5 , 0.05240023144013886
15.5 , 0.04492152695291617
16.5 , 0.03817662290597374
17.5 , 0.03219851931911159
18.5 , 0.027089416253649752
19.5 , 0.02272171363302818
20.5 , 0.01886651131990679
21.5 , 0.015627409376445626
22.5 , 0.012899407739644644
23.5 , 0.010755506453303872
24.5 , 0.008968105380863229
25.5 , 0.0074457044674226805
26.5 , 0.0061599036959422175
27.5 , 0.005036003021601813
28.5 , 0.004053902432341459
29.5 , 0.0032953019771811863
30.5 , 0.002655201593120956
31.5 , 0.002296801378080827
32.5 , 0.001875401125240675
33.5 , 0.0016188009712805828
34.5 , 0.0013822008293204976
35.5 , 0.0011462006877204127
36.5 , 9.19300551580331E-4
37.5 , 7.539004523402714E-4
38.5 , 6.97100418260251E-4
39.5 , 5.767003460202076E-4
40.5 , 5.196003117601871E-4
41.5 , 4.264002558401535E-4
42.5 , 3.5030021018012613E-4
43.5 , 3.022001813201088E-4
44.5 , 2.1260012756007653E-4
45.5 , 1.936001161600697E-4
46.5 , 1.433000859800516E-4
47.5 , 9.97000598200359E-5
48.5 , 7.740004644002786E-5
49.5 , 6.620003972002383E-5
50.5 , 7.310004386002632E-5
51.5 , 6.560003936002362E-5
52.5 , 5.540003324001995E-5
53.5 , 4.630002778001667E-5
54.5 , 3.2900019740011844E-5
55.5 , 3.520002112001267E-5
56.5 , 3.370002022001213E-5
57.5 , 3.50000210000126E-5
58.5 , 2.670001602000961E-5
59.5 , 1.700001020000612E-5
60.5 , 2.0300012180007307E-5
61.5 , 1.75000105000063E-5
62.5 , 1.620000972000583E-5
63.5 , 8.900005340003204E-6
64.5 , 1.300000780000468E-6
65.5 , 1.800001080000648E-6
66.5 , 2.300001380000828E-6
67.5 , 3.700002220001332E-6
68.5 , 1.700001020000612E-6
69.5 , 2.600001560000936E-6
70.5 , 3.00000180000108E-7
71.5 , 0.0
72.5 , 0.0
73.5 , 0.0
74.5 , 0.0
75.5 , 0.0
76.5 , 0.0
77.5 , 0.0
78.5 , 0.0
79.5 , 0.0
80.5 , 0.0
81.5 , 0.0
82.5 , 0.0
83.5 , 0.0
84.5 , 0.0
85.5 , 0.0
86.5 , 0.0
87.5 , 0.0
88.5 , 0.0
89.5 , 0.0
90.5 , 0.0
91.5 , 0.0
92.5 , 0.0
93.5 , 0.0
94.5 , 0.0
95.5 , 0.0
96.5 , 0.0
97.5 , 0.0
98.5 , 0.0
99.5 , 0.0
