[lower bound; , upper bound) , relative frequency
0.0 , 0.1 , 18149.0
0.1 , 0.2 , 11900.0
0.2 , 0.30000000000000004 , 16165.0
0.30000000000000004 , 0.4 , 16364.0
0.4 , 0.5 , 22946.0
0.5 , 0.6000000000000001 , 35173.0
0.6000000000000001 , 0.7000000000000001 , 45293.0
0.7000000000000001 , 0.8 , 54863.0
0.8 , 0.9 , 75223.0
0.9 , 1.0 , 86262.0
1.0 , 1.1 , 90228.0
1.1 , 1.2000000000000002 , 95881.0
1.2000000000000002 , 1.3 , 71334.0
1.3 , 1.4000000000000001 , 75419.0
1.4000000000000001 , 1.5 , 51055.0
1.5 , 1.6 , 46580.0
1.6 , 1.7000000000000002 , 37333.0
1.7000000000000002 , 1.8 , 29565.0
1.8 , 1.9000000000000001 , 25585.0
1.9000000000000001 , 2.0 , 17084.0
2.0 , 2.1 , 15020.0
2.1 , 2.2 , 12213.0
2.2 , 2.3000000000000003 , 10569.0
2.3000000000000003 , 2.4000000000000004 , 7619.0
2.4000000000000004 , 2.5 , 5654.0
2.5 , 2.6 , 5176.0
2.6 , 2.7 , 4150.0
2.7 , 2.8000000000000003 , 3651.0
2.8000000000000003 , 2.9000000000000004 , 2663.0
2.9000000000000004 , 3.0 , 2006.0
3.0 , 3.1 , 1789.0
3.1 , 3.2 , 1348.0
3.2 , 3.3000000000000003 , 1265.0
3.3000000000000003 , 3.4000000000000004 , 808.0
3.4000000000000004 , 3.5 , 731.0
3.5 , 3.6 , 653.0
3.6 , 3.7 , 538.0
3.7 , 3.8000000000000003 , 529.0
3.8000000000000003 , 3.9000000000000004 , 349.0
3.9000000000000004 , 4.0 , 346.0
4.0 , 4.1000000000000005 , 277.0
4.1000000000000005 , 4.2 , 173.0
4.2 , 4.3 , 146.0
4.3 , 4.4 , 86.0
4.4 , 4.5 , 69.0
4.5 , 4.6000000000000005 , 46.0
4.6000000000000005 , 4.7 , 49.0
4.7 , 4.800000000000001 , 59.0
4.800000000000001 , 4.9 , 55.0
4.9 , 5.0 , 35.0
5.0 , 5.1000000000000005 , 32.0
5.1000000000000005 , 5.2 , 41.0
5.2 , 5.300000000000001 , 41.0
5.300000000000001 , 5.4 , 42.0
5.4 , 5.5 , 24.0
5.5 , 5.6000000000000005 , 20.0
5.6000000000000005 , 5.7 , 25.0
5.7 , 5.800000000000001 , 12.0
5.800000000000001 , 5.9 , 4.0
5.9 , 6.0 , 7.0
6.0 , 6.1000000000000005 , 2.0
6.1000000000000005 , 6.2 , 2.0
6.2 , 6.300000000000001 , 0.0
6.300000000000001 , 6.4 , 0.0
6.4 , 6.5 , 0.0
6.5 , 6.6000000000000005 , 0.0
6.6000000000000005 , 6.7 , 0.0
6.7 , 6.800000000000001 , 0.0
6.800000000000001 , 6.9 , 0.0
6.9 , 7.0 , 0.0
7.0 , 7.1000000000000005 , 0.0
7.1000000000000005 , 7.2 , 0.0
7.2 , 7.300000000000001 , 0.0
7.300000000000001 , 7.4 , 0.0
7.4 , 7.5 , 0.0
7.5 , 7.6000000000000005 , 0.0
7.6000000000000005 , 7.7 , 0.0
7.7 , 7.800000000000001 , 0.0
7.800000000000001 , 7.9 , 0.0
7.9 , 8.0 , 0.0
8.0 , 8.1 , 0.0
8.1 , 8.200000000000001 , 0.0
8.200000000000001 , 8.3 , 0.0
8.3 , 8.4 , 0.0
8.4 , 8.5 , 0.0
8.5 , 8.6 , 0.0
8.6 , 8.700000000000001 , 0.0
8.700000000000001 , 8.8 , 0.0
8.8 , 8.9 , 0.0
8.9 , 9.0 , 0.0
9.0 , 9.1 , 0.0
9.1 , 9.200000000000001 , 0.0
9.200000000000001 , 9.3 , 0.0
9.3 , 9.4 , 0.0
9.4 , 9.5 , 0.0
9.5 , 9.600000000000001 , 0.0
9.600000000000001 , 9.700000000000001 , 0.0
9.700000000000001 , 9.8 , 0.0
9.8 , 9.9 , 0.0
9.9 , 10.0 , 0.0
