[lower bound; , upper bound) , probability density
0.0 , 0.1 , 0.18135833384962516
0.1 , 0.2 , 0.11891366867654082
0.2 , 0.30000000000000004 , 0.16153272724002374
0.30000000000000004 , 0.4 , 0.16352128354814402
0.4 , 0.5 , 0.2292935328951181
0.5 , 0.6000000000000001 , 0.3514748292739471
0.6000000000000001 , 0.7000000000000001 , 0.45260141137534143
0.7000000000000001 , 0.8 , 0.548231983579921
0.8 , 0.9 , 0.7516842772147421
0.9 , 1.0 , 0.8619941922164509
1.0 , 1.1 , 0.9016254199451198
1.1 , 1.2000000000000002 , 0.9581144089391103
1.2000000000000002 , 1.3 , 0.7128224908716271
1.3 , 1.4000000000000001 , 0.7536428552870617
1.4000000000000001 , 1.5 , 0.5101796096034279
1.5 , 1.6 , 0.4654620745338884
1.6 , 1.7000000000000002 , 0.3730591590505293
1.7000000000000002 , 1.8 , 0.29543551381696886
1.8 , 1.9000000000000001 , 0.2556643876545628
1.9000000000000001 , 2.0 , 0.1707160601403381
2.0 , 2.1 , 0.15009103390938178
2.1 , 2.2 , 0.12204139794509186
2.2 , 2.3000000000000003 , 0.10561332472624874
2.3000000000000003 , 2.4000000000000004 , 0.07613472618878694
2.4000000000000004 , 2.5 , 0.0564989817392573
2.5 , 2.6 , 0.05172244950166179
2.6 , 2.7 , 0.04146989285778525
2.7 , 2.8000000000000003 , 0.03648351296958408
2.8000000000000003 , 2.9000000000000004 , 0.02661068064585111
2.9000000000000004 , 3.0 , 0.020045447005474025
3.0 , 3.1 , 0.01787702128254887
3.1 , 3.2 , 0.013470220619830003
3.2 , 3.3000000000000003 , 0.012640822762674298
3.3000000000000003 , 3.4000000000000004 , 0.008074138175684453
3.4000000000000004 , 3.5 , 0.007304696790130365
3.5 , 3.6 , 0.006525262659309341
3.6 , 3.7 , 0.005376096953611678
3.7 , 3.8000000000000003 , 0.005286162246209252
3.8000000000000003 , 3.9000000000000004 , 0.003487468098160735
3.9000000000000004 , 4.0 , 0.0034574898623599263
4.0 , 4.1000000000000005 , 0.0027679904389413283
4.1000000000000005 , 4.2 , 0.0017287449311799632
4.2 , 4.3 , 0.0014589408089726856
4.3 , 4.4 , 8.593760929565135E-4
4.4 , 4.5 , 6.89499423418598E-4
4.5 , 4.6000000000000005 , 4.5966628227906537E-4
4.6000000000000005 , 4.7 , 4.896445180798739E-4
4.7 , 4.800000000000001 , 5.89571970749236E-4
4.800000000000001 , 4.9 , 5.496009896814912E-4
4.9 , 5.0 , 3.4974608434276715E-4
5.0 , 5.1000000000000005 , 3.1976784854195853E-4
5.1000000000000005 , 5.2 , 4.0970255594438435E-4
5.2 , 5.300000000000001 , 4.0970255594438435E-4
5.300000000000001 , 5.4 , 4.196953012113206E-4
5.4 , 5.5 , 2.398258864064689E-4
5.5 , 5.6000000000000005 , 1.9985490533872406E-4
5.6000000000000005 , 5.7 , 2.498186316734051E-4
5.7 , 5.800000000000001 , 1.1991294320323446E-4
5.800000000000001 , 5.9 , 3.9970981067744816E-5
5.9 , 6.0 , 6.994921686855342E-5
6.0 , 6.1000000000000005 , 1.9985490533872408E-5
6.1000000000000005 , 6.2 , 1.9985490533872408E-5
6.2 , 6.300000000000001 , 0.0
6.300000000000001 , 6.4 , 0.0
6.4 , 6.5 , 0.0
6.5 , 6.6000000000000005 , 0.0
6.6000000000000005 , 6.7 , 0.0
6.7 , 6.800000000000001 , 0.0
6.800000000000001 , 6.9 , 0.0
6.9 , 7.0 , 0.0
7.0 , 7.1000000000000005 , 0.0
7.1000000000000005 , 7.2 , 0.0
7.2 , 7.300000000000001 , 0.0
7.300000000000001 , 7.4 , 0.0
7.4 , 7.5 , 0.0
7.5 , 7.6000000000000005 , 0.0
7.6000000000000005 , 7.7 , 0.0
7.7 , 7.800000000000001 , 0.0
7.800000000000001 , 7.9 , 0.0
7.9 , 8.0 , 0.0
8.0 , 8.1 , 0.0
8.1 , 8.200000000000001 , 0.0
8.200000000000001 , 8.3 , 0.0
8.3 , 8.4 , 0.0
8.4 , 8.5 , 0.0
8.5 , 8.6 , 0.0
8.6 , 8.700000000000001 , 0.0
8.700000000000001 , 8.8 , 0.0
8.8 , 8.9 , 0.0
8.9 , 9.0 , 0.0
9.0 , 9.1 , 0.0
9.1 , 9.200000000000001 , 0.0
9.200000000000001 , 9.3 , 0.0
9.3 , 9.4 , 0.0
9.4 , 9.5 , 0.0
9.5 , 9.600000000000001 , 0.0
9.600000000000001 , 9.700000000000001 , 0.0
9.700000000000001 , 9.8 , 0.0
9.8 , 9.9 , 0.0
9.9 , 10.0 , 0.0
